Телефон_new,ЧислоЗаказов,ОбщаяСуммаПокупок,ОбщееКоличествоТоваров,СреднийЧек,СрКолТоваров_вЧеке,G2_ДЕТСКОЕ ПИТАНИЕ,G2_ИГРУШКИ,"G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ",G2_КОСМЕТИКА/ГИГИЕНА,G2_КРУПНОГАБАРИТНЫЙ ТОВАР,G2_ОБУВЬ,G2_ПОДГУЗНИКИ,G2_СОПУТСТВУЮЩИЕ ТОВАРЫ,"G2_ТЕКСТИЛЬ, ТРИКОТАЖ",G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,K9_Кластер,K10_Кластер,K11_Кластер,G8_Кластер,G9_Кластер,G10_Кластер,G11_Кластер
55574848-54515556565377,1,4099.0,1,4099.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-54525053485770,1,2350.0,1,2350.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-54525157485174,1,1220.0,1,1220.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-54535155485474,1,3580.0,2,3580.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574848-54554853535279,1,306.0,1,306.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574848-54554957534976,1,2590.0,1,2590.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-54555055575676,1,901.0,1,901.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-54555749564975,1,14725.0,1,14725.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-55565556555774,1,1501.0,1,1501.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-57484951534878,1,1902.0,6,1902.0,6.0,0,5,0,0,1,0,0,0,0,0,3,3,0,3,3,6,3
55574848-57485151504972,1,1574.0,4,1574.0,4.0,0,4,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574848-57485152565077,2,4580.0,2,2290.0,1.0,0,0,0,0,0,0,2,0,0,0,5,6,3,5,2,0,2
55574848-57485155565271,1,2133.0,12,2133.0,12.0,0,0,0,0,0,0,0,0,12,0,0,4,10,6,6,1,6
55574848-57485350515775,1,1480.0,3,1480.0,3.0,0,0,0,0,1,0,0,0,2,0,2,1,2,3,3,9,3
55574848-57485652505574,1,13299.0,1,13299.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-57485656534973,1,3682.0,1,3682.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-57485754495273,1,4500.0,1,4500.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-57495455504873,2,1005.0,4,502.5,2.0,0,3,0,0,1,0,0,0,0,0,1,0,0,5,2,0,2
55574848-57495455555779,1,2125.0,1,2125.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-57495652505374,2,830.0,3,415.0,1.5,0,1,0,0,0,0,0,0,0,2,1,0,8,5,5,0,10
55574848-57495656535076,1,2379.0,6,2379.0,6.0,0,0,0,0,0,0,0,0,6,0,0,4,10,6,6,1,6
55574848-57504855535377,1,4070.0,1,4070.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-57505349515278,1,1590.0,4,1590.0,4.0,0,0,0,1,0,0,1,0,0,2,5,8,1,5,5,8,9
55574848-57505353504974,1,799.0,1,799.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-57505357484972,2,4805.0,6,2402.5,3.0,0,6,0,0,0,0,0,0,0,0,3,3,6,5,2,0,2
55574848-57505357555572,1,1428.0,5,1428.0,5.0,0,0,0,2,0,0,0,0,1,2,4,5,5,6,6,5,9
55574848-57514852565478,1,1600.0,1,1600.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-57545252575072,1,1480.0,1,1480.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-57545454525379,1,2138.0,1,2138.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-57545548495376,2,5850.0,5,2925.0,2.5,0,1,0,2,1,0,1,0,0,0,4,5,5,5,5,0,10
55574848-57545552575570,1,768.0,5,768.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574848-57545757565579,1,1926.0,2,1926.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574848-57554851575378,1,1311.0,7,1311.0,7.0,0,7,0,0,0,0,0,0,0,0,3,3,6,1,1,6,1
55574849-49494949494971,1,1112.0,12,1112.0,12.0,0,0,0,7,0,0,0,0,4,1,4,5,5,6,5,5,9
55574849-49495555575272,1,318.0,1,318.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-49575654574979,2,4034.0,6,2017.0,3.0,0,4,0,0,0,1,1,0,0,0,3,3,0,2,2,9,2
55574849-50504852485275,1,399.0,1,399.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574849-50545152575770,1,899.0,1,899.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-50545155525075,1,1818.0,2,1818.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-51485457554970,2,1560.0,6,780.0,3.0,0,2,0,0,0,0,0,0,0,0,1,0,8,5,5,0,10
